Price,Close,High,Low,Open,Volume
Ticker,7741.T,7741.T,7741.T,7741.T,7741.T
Date,,,,,
2021-08-02,15560.4921875,15686.645226750079,15249.961629345962,15337.298348826786,936900
2021-08-03,15929.2451171875,15987.469589135793,15560.490128181636,15560.490128181636,906000
2021-08-04,15992.3203125,16060.248857516686,15934.09584534284,15963.20807892142,670100
2021-08-05,16133.0302734375,16133.0302734375,15885.576275258458,15948.652784598215,836800
2021-08-06,16200.9580078125,16297.998786535545,16035.988683983322,16035.988683983322,581600
2021-08-10,16598.82421875,16671.604798487286,16133.02850843138,16191.252972221208,698400
2021-08-11,16555.15625,16632.788870164128,16327.110428267879,16341.666544548652,626500
2021-08-12,16754.091796875,16860.83666207374,16540.60206647752,16618.234695712967,603200
2021-08-13,16836.578125,17059.771956051874,16807.465886167145,16836.578125,616400
2021-08-16,16691.015625,16889.949241460756,16574.56667877907,16817.168650072672,650200
2021-08-17,16443.560546875,16788.05532374963,16419.30035132045,16744.38697175144,523500
2021-08-18,16409.59765625,16530.898644247118,16254.33239161369,16336.81706345173,679800
2021-08-19,16230.0712890625,16370.780427293535,16191.254975067732,16336.816152548114,555200
2021-08-20,16244.62890625,16453.266613229913,16035.991199270085,16035.991199270085,529000
2021-08-23,16574.56640625,16666.755153825747,16283.444045484484,16312.556281561036,691700
2021-08-24,16700.71875,16841.427885313773,16623.08612361999,16700.71875,691700
2021-08-25,16744.38671875,16865.687694689947,16608.52962569726,16758.942835862796,392200
2021-08-26,16894.802734375,16894.802734375,16657.052782053237,16841.430296098686,374600
2021-08-27,16608.53125,16812.3169095092,16535.75065731814,16661.903684633362,579000
2021-08-30,17001.546875,17001.546875,16676.46021957049,16739.53673480308,751300
2021-08-31,17253.849609375,17404.262809006785,17040.359906671823,17113.140487138815,1167700
2021-09-01,17549.826171875,17554.678211181574,17132.55079150971,17229.591577641175,645500
2021-09-02,17612.90234375,17612.90234375,17307.22387332128,17365.448343879132,561400
2021-09-03,17481.896484375,17632.309693094296,17312.075119691923,17554.677069239176,1094100
2021-09-06,17447.9375,17646.871158926584,17336.340569382646,17428.529338153505,874100
2021-09-07,17666.271484375,17821.53671027448,17520.710335094238,17622.60313959077,790600
2021-09-08,18132.072265625,18151.48042432516,17811.83764707235,17928.286599273313,972700
2021-09-09,17753.61328125,18049.58770326592,17734.205122429285,17976.807107688233,900300
2021-09-10,17947.693359375,17971.95355585969,17365.4486437424,17365.4486437424,1258500
2021-09-13,18233.96484375,18263.07708139303,17768.169041461548,17792.429239497407,723600
2021-09-14,18806.50390625,18859.876337356487,18263.075516802117,18287.33571275961,1076000
2021-09-15,18258.224609375,18685.204084693894,18122.367503591715,18583.31125535643,1191600
2021-09-16,18437.751953125,18510.532552939967,18292.190753495066,18340.71115337171,847800
2021-09-17,18015.62109375,18432.896454391663,17957.396624823257,18398.932180851065,2064800
2021-09-21,17870.060546875,17986.509488804135,17598.346349040356,17612.902466781496,1062000
2021-09-22,17729.3515625,17996.213723402434,17661.42301245211,17777.87195539135,697200
2021-09-24,18098.107421875,18170.88801472436,17656.57182525553,17709.94426001173,1251100
2021-09-27,17913.728515625,18141.774355341786,17831.243850195522,18088.401924769772,663100
2021-09-28,17773.021484375,17855.50615956866,17506.159299924922,17661.424570877694,967100
2021-09-29,17058.015625,17461.726858782436,16941.27984655689,17417.950941866267,1093700
2021-09-30,16999.64453125,17116.380287687767,16766.173018374466,16863.452815405937,1011600
2021-10-01,16440.287109375,16965.59805843195,16377.055235877404,16926.686136279586,1258700
2021-10-04,16007.3916015625,16693.214213479943,15944.159729541741,16654.302292236403,1073100
2021-10-05,15545.314453125,15676.642203511225,15433.442665758957,15555.04243463509,1379900
2021-10-06,15934.431640625,16167.903166494963,15764.191986344818,15764.191986344818,1221900
2021-10-07,15880.927734375,16187.35911179173,15807.967882609111,16148.447190849924,673100
2021-10-08,16051.1689453125,16299.23246537642,15963.617114701705,16270.04852183949,619700
2021-10-11,16255.455078125,16279.775028870248,15924.7037479896,16070.6234524611,607700
2021-10-12,16265.1826171875,16308.958527341412,16114.398926657352,16192.222766930976,835800
2021-10-13,16031.7109375,16362.462255385315,16031.7109375,16221.406546287166,825000
2021-10-14,16236.0,16367.327741162373,16124.128220491311,16226.272019173157,744200
2021-10-15,16756.4453125,16809.949201741652,16381.918087808417,16532.701775671263,859900
2021-10-18,16488.92578125,16766.17320589049,16343.006084070797,16746.717246266595,620200
2021-10-19,17189.33984375,17194.20383351903,16702.940866847057,16741.852784999293,803400
2021-10-20,16970.4609375,17369.30811344583,16970.4609375,17325.5322038908,684000
2021-10-21,16537.568359375,16843.99977309283,16493.792443129594,16819.67981962316,484400
2021-10-22,16887.775390625,17062.87905250936,16654.303841445853,16693.215766309044,688000
2021-10-25,16693.21484375,16848.862534600816,16537.567152899184,16537.567152899184,696300
2021-10-26,16809.94921875,16819.67719862196,16561.885732014976,16809.94921875,452000
2021-10-27,16819.677734375,16819.677734375,16542.430299192994,16702.941972193104,617500
2021-10-28,16381.9189453125,17004.509689077346,16206.815298628637,16848.862003136135,1087700
2021-10-29,16270.046875,16469.47046898356,15822.559786061285,16255.45490470852,1447400
2021-11-01,17077.470703125,17092.06267467424,16547.295736836015,16600.799632516555,872600
2021-11-02,17087.19921875,17213.66297613329,16897.503582675065,16965.599452035298,791100
2021-11-04,17349.853515625,17554.14110958526,17126.10996033519,17447.133322272744,936700
2021-11-05,17451.99609375,17675.73963341346,17242.84452406459,17510.363973662206,620000
2021-11-08,17544.412109375,17588.188019822566,17364.444477535002,17490.90821882797,647400
2021-11-09,17335.26171875,17612.50917048085,17306.07777646254,17510.365372474746,515200
2021-11-10,17053.150390625,17237.98202634769,16985.05452483243,17111.51827559006,445300
2021-11-11,16989.916015625,17194.203582947146,16853.724304076903,17077.467830191632,534600
2021-11-12,17262.30078125,17490.90831484221,17213.660880485702,17330.39664232002,642000
2021-11-15,17451.99609375,17451.99609375,17237.980534071907,17257.436494042642,464800
2021-11-16,17349.853515625,17495.773225596615,17272.029670306805,17408.221399613645,504300
2021-11-17,17952.990234375,17952.990234375,17451.99917662896,17583.32692963035,1029800
2021-11-18,18050.265625,18186.4573354554,17899.481945567233,17996.76173874966,1097500
2021-11-19,18449.11328125,18536.66509750692,18035.674148925653,18132.953944766676,1360000
2021-11-22,18444.251953125,18570.715705968156,18376.156086209452,18512.347820040544,678200
2021-11-24,17914.076171875,18288.60342282107,17909.212181602972,18157.275685476343,886700
2021-11-25,18016.220703125,18147.548445831366,17952.98882700712,17991.90075077197,343800
2021-11-26,17763.29296875,18069.72436443216,17719.51705508112,18035.676431578588,594600
2021-11-29,17471.453125,17768.15653274638,17301.21346481765,17315.80543569042,769900
2021-11-30,17529.822265625,17991.901376400354,17466.590387308373,17782.74977889151,1673000
2021-12-01,17670.875,17841.11464354528,17286.619804569225,17597.91515276631,823400
2021-12-02,17267.1640625,18210.77809859155,17247.708102992958,18196.186128961268,1111300
2021-12-03,17816.796875,17899.48471198471,17228.254035285285,17413.08567089817,827300
2021-12-06,17456.861328125,17875.164497313843,17456.861328125,17631.964980343586,578800
2021-12-07,17442.271484375,17520.09533929692,17130.976064687326,17500.63937556644,798600
2021-12-08,17991.900390625,18079.45221734337,17670.877025990976,17836.25269868123,699300
2021-12-09,17709.78515625,17972.440580154835,17709.78515625,17880.024782854984,607800
2021-12-10,17393.630859375,17670.878331126783,17349.85494278261,17524.95860915216,724700
2021-12-13,17315.80859375,17597.920082075143,17296.352629037923,17447.136355556533,649100
2021-12-14,17359.580078125,17510.363766110953,17315.80416870972,17413.083967410337,587600
2021-12-15,17126.109375,17388.764843971883,17053.14952250781,17140.701345498437,616400
2021-12-16,17583.326171875,17631.96607829789,17301.214714622234,17476.31837774464,950800
2021-12-17,16664.03125,17490.90962492703,16600.799374270286,17369.309863908347,1352100
2021-12-20,16099.806640625,16522.97376380759,16075.486691016804,16274.910277804001,1021900
2021-12-21,16255.455078125,16328.414930360748,15710.688181431402,15710.688181431402,1314800
2021-12-22,16313.8212890625,16440.285019985466,16080.349785820103,16357.597195920449,818700
2021-12-23,16445.150390625,16605.662062583186,16270.046748488798,16605.662062583186,713400
2021-12-24,16629.984375,16722.400199254167,16454.880707992103,16503.520615494297,412500
2021-12-27,16411.1015625,16693.21297050978,16294.36580746147,16629.981103197242,467900
2021-12-28,16698.078125,16746.718026325372,16508.38250983105,16557.022411156424,590100
2021-12-29,16527.8359375,16688.347587275603,16401.372213434373,16615.38774646851,527500
2021-12-30,16644.57421875,16756.445991698933,16396.51072221106,16537.566435929282,610600
2022-01-04,17291.48828125,17315.808236638535,16780.769218090718,16902.368995033405,1029300
2022-01-05,16021.984375,16965.59851244687,15919.840576616574,16819.678800470552,1594100
2022-01-06,15686.369140625,15973.34457606589,15608.545293725774,15710.689092781007,1171100
2022-01-07,15739.873046875,16090.080358177534,15545.313429484702,15934.432664265296,1162200
2022-01-11,15341.0244140625,15817.695432635144,15311.840474149889,15666.911743086655,1340400
2022-01-12,15404.2578125,15438.305745776759,15214.562184243763,15306.978003137827,1345200
2022-01-13,14664.9306640625,15302.113389433043,14650.338693252488,15287.521418623031,1577400
2022-01-14,14820.5791015625,15107.55454199315,14660.067414541967,14883.810978267558,1268900
2022-01-17,15112.41796875,15321.569553126006,14893.538403705343,15306.977582123029,861500
2022-01-18,15516.12890625,15705.824526106975,15316.705305887539,15355.617227909483,1010800
2022-01-19,14528.740234375,15375.074616959952,14470.372345920865,15297.250765687771,1441000
2022-01-20,14820.5791015625,15024.866703224996,14431.459860300603,14981.090788583033,1002400
2022-01-21,14757.345703125,14835.169543352424,14494.69024235745,14684.385852911792,941000
2022-01-24,14397.412109375,14446.052015149917,14139.620608767947,14256.356382627746,1336600
2022-01-25,13852.6435546875,14358.49851595418,13667.811934224675,14358.49851595418,1411300
2022-01-26,14334.1806640625,14528.740293028397,14042.341220613653,14105.57310002757,1397400
2022-01-27,13551.076171875,14460.642304014493,13448.932381634737,14397.410433865758,1723900
2022-01-28,13721.3154296875,14037.474771385369,13531.619824668778,13813.731237260723,1703100
2022-01-31,14353.6357421875,14591.9712729795,13794.276843389953,14013.156412484646,1335900
2022-02-01,14377.9560546875,15088.098674438641,14081.252631366817,14645.475534730738,1893200
2022-02-02,14728.1630859375,15073.506407965757,14319.587888044915,15058.91443661245,2667100
2022-02-03,14728.1630859375,15088.098379319063,14611.427315111046,14645.475248268762,1681000
2022-02-04,14927.5869140625,15015.13874347049,14446.051852318547,14475.235795454546,1162600
2022-02-07,15049.1865234375,15190.24224715427,14660.067285598134,15156.194313843325,1184700
2022-02-08,15000.544921875,15457.759974616974,14951.90502264713,15370.208156006809,1371900
2022-02-09,15545.314453125,15744.73807408186,15097.827303660826,15209.69909102687,1400500
2022-02-10,15496.671875,15593.951673336473,15394.528086746705,15423.712026247646,1286900
2022-02-14,14937.314453125,15102.69012600232,14757.346809111446,14981.090366533703,1024700
2022-02-15,14883.810546875,15020.00227736928,14626.019057010824,14757.346797130309,1174100
2022-02-16,15331.2978515625,15370.209775043624,15107.554291546043,15180.514148073149,930400
2022-02-17,15063.77734375,15350.752759727155,14995.68148233169,15277.792908207539,896800
2022-02-18,14742.7548828125,14849.762671470327,14241.763872278125,14314.723728181189,1279500
2022-02-21,14567.6513671875,14611.42728114566,14120.164246726315,14266.083959920179,1015400
2022-02-22,14533.603515625,14606.56337263115,14115.300335456408,14134.756297324715,929000
2022-02-24,14319.5869140625,14504.4185386326,14163.939230213995,14455.778637429943,1490000
2022-02-25,14416.8662109375,14470.3701003843,13954.787165715145,14027.74701496078,1369700
2022-02-28,14450.9150390625,14523.87489284437,14256.355428977511,14441.18705855825,926500
2022-03-01,14470.37109375,14694.114646796217,14402.27522977941,14426.59518119748,1044500
2022-03-02,13823.4609375,14144.484309025334,13765.09305176812,13862.372861321253,1018400
2022-03-03,13906.1474609375,14047.203171454179,13638.628009957589,13983.971301222564,1085800
2022-03-04,13521.892578125,13857.507897510117,13346.788933228418,13857.507897510117,880700
2022-03-07,12680.421875,13088.997033227848,12617.19000527426,12646.37394514768,1131000
2022-03-08,12797.1572265625,13045.220707579105,12505.3178371312,12529.637786250476,1455000
2022-03-09,12519.9111328125,12714.470746376019,12432.359306708915,12505.319161795236,1282900
2022-03-10,13390.5654296875,13405.157400733291,13118.181970166068,13142.501921909054,1682200
2022-03-11,12850.662109375,13346.789109812642,12806.886197571679,13317.60516861043,1453000
2022-03-14,12578.279296875,12865.254733269287,12476.135497480424,12558.823335085557,1233300
2022-03-15,12276.7109375,12490.726500594295,12111.335275108953,12286.43891764065,1577800
2022-03-16,12617.1904296875,12670.69432125518,12218.343238001156,12398.310873274262,1443500
