Price,Close,High,Low,Open,Volume
Ticker,6273.T,6273.T,6273.T,6273.T,6273.T
Date,,,,,
2021-08-02,63356.609375,63460.876685461546,62238.10549913973,62655.17474098593,120200
2021-08-03,63318.69140625,63650.45101691149,62967.97410355071,63157.5510239287,76200
2021-08-04,63233.37890625,64332.92499426155,62949.01353866081,64266.5730751574,81500
2021-08-05,63963.2578125,63963.25781249999,63356.61162103586,63394.52700800237,61100
2021-08-06,64219.17578125,64370.837303390224,63385.037409478784,63441.91048028137,77000
2021-08-10,65783.1875,65915.89133645533,64835.30295389049,64996.44332672911,137500
2021-08-11,66768.9921875,67043.87872546671,65953.81141973665,66219.21911156658,183200
2021-08-12,69261.921875,70370.9467633776,68513.09310421514,69612.63914739291,280900
2021-08-13,67555.734375,69470.4612367581,67451.46707064683,69261.92662805178,159500
2021-08-16,65896.9296875,67716.8679067175,65783.1835487989,67565.20638844937,163800
2021-08-17,65176.546875,66731.07766143106,65119.67379744764,66541.50073625655,124500
2021-08-18,64399.28515625,64598.34093904088,63773.681267478656,64238.14476065738,177600
2021-08-19,63915.859375,64266.57668137328,63508.26899191755,63792.63437546344,121500
2021-08-20,63290.26171875,64351.892587778006,63043.811695582786,63394.529036243825,125800
2021-08-23,64816.34765625,65195.5014886937,64076.99768298479,64162.30729528462,179900
2021-08-24,65783.1875,65972.7644092219,65328.202917867435,65678.92019992796,112400
2021-08-25,65356.63671875,66427.74621102249,65110.18674707669,65859.01550716099,84900
2021-08-26,65811.6328125,65887.46358630095,65271.33854916823,65441.95779022037,68000
2021-08-27,65223.9453125,65840.07035905028,65081.76260944993,65252.38185311001,82100
2021-08-30,66332.96875,66332.96875,65555.70332595028,65593.61871248929,106600
2021-08-31,66835.3515625,67252.42083902106,66086.52263420082,66408.80343878528,125200
2021-09-01,67574.6796875,68228.71993135432,66731.06256136906,66835.3298466212,154300
2021-09-02,68503.625,69186.10196139477,68285.61152622111,68513.10384668603,139200
2021-09-03,69840.1328125,70446.7789172774,69205.05017156115,69859.09050327429,229500
2021-09-06,72788.0546875,74105.61421368342,72086.62011960379,74105.61421368342,268900
2021-09-07,72645.8828125,74039.27331007796,72418.39048636482,73461.06364781772,166900
2021-09-08,73328.359375,73328.359375,72143.5035164329,72456.30546309461,157900
2021-09-09,72162.453125,73461.05500049258,71934.96082564363,72295.15696629121,217700
2021-09-10,72560.5703125,72693.27416414925,70740.63177559602,70740.63177559602,260600
