Price,Close,High,Low,Open,Volume
Ticker,6367.T,6367.T,6367.T,6367.T,6367.T
Date,,,,,
2021-08-02,22168.580078125,22182.910123424368,21858.095763305322,21953.629398634454,549400
2021-08-03,22168.580078125,22249.78366815476,22039.609670430673,22077.823124562325,422700
2021-08-04,23568.146484375,23735.330336615196,23057.04156466926,23061.818246161838,1472600
2021-08-05,24045.814453125,24045.814453125,23453.505952491807,23534.709537256036,806900
2021-08-06,23778.3203125,24069.697881616612,23568.14632821916,23821.310445648352,645400
2021-08-10,23845.19140625,23859.52144916241,23415.290118877703,23429.620161790113,744800
2021-08-11,24743.2109375,24919.94815848214,24408.843222128377,24413.619903776544,886200
2021-08-12,24829.19140625,25029.81203708157,24714.551045774817,24924.72503997932,640400
2021-08-13,24838.7421875,24962.9358984375,24752.761926081734,24934.275811298077,636600
2021-08-16,24767.091796875,24967.71240545142,24566.471188298576,24967.71240545142,639100
2021-08-17,24690.66796875,25177.8895073092,24690.66796875,25058.47246354469,592800
2021-08-18,24652.453125,24757.540117588644,24313.308739827553,24580.80290278047,555000
2021-08-19,24585.58203125,24709.77576212478,24456.611618418494,24547.36857559622,711500
2021-08-20,24399.2890625,24542.58950726801,24246.435254747455,24265.541980716524,740200
2021-08-23,25268.64453125,25349.84811480978,24461.38537703804,24504.375509510868,716800
2021-08-24,25517.03125,25679.43841257956,25411.94426244852,25411.94426244852,548200
2021-08-25,25454.935546875,25717.653027655284,25321.188465750492,25674.662894436693,451700
2021-08-26,25550.46875,25588.68220111236,25354.62481304917,25431.051715273883,369300
2021-08-27,25330.740234375,25445.380582409132,25096.682857138647,25316.410190870734,553300
2021-08-30,25789.302734375,25789.302734375,25459.711719618215,25521.808577470943,492200
2021-08-31,26180.990234375,26343.39739875536,25688.99205992862,25794.079048645322,898900
2021-09-01,26352.94921875,26496.2496495208,26161.881977722267,26195.31874490212,647600
2021-09-02,26548.794921875,26558.34828456729,26223.980590337127,26223.980590337127,547000
2021-09-03,27164.986328125,27313.063447198656,26252.64020738087,26286.076976203953,781900
2021-09-06,27785.95703125,27914.927435211448,27551.89963146811,27800.287076134606,799100
2021-09-07,28129.87890625,28273.179359160087,27800.2878645568,27943.58831746689,694300
2021-09-08,28048.671875,28191.972310328678,27594.88716312585,27795.507772586003,876600
2021-09-09,27685.64453125,27814.614925029113,27609.217631232746,27752.518068765094,836700
2021-09-10,27852.826171875,27972.243193706054,27188.86753049434,27207.974253987308,1327900
2021-09-13,27843.275390625,27843.275390625,27556.67451166849,27623.548050091675,619800
2021-09-14,27848.048828125,28072.552823823436,27752.515212934177,27800.28202052959,686400
2021-09-15,27757.298828125,27886.269240852478,27590.114959774564,27676.095234926215,698600
2021-09-16,27074.23046875,27656.98560586847,27055.123742942837,27590.112065543402,976100
2021-09-17,26749.416015625,27145.880574428014,26658.65906842913,27145.880574428014,1551700
2021-09-21,25488.375,25932.606423350822,25220.8808095952,25316.414449025488,1408600
2021-09-22,24738.43359375,25397.615643554498,24619.01655574194,25373.732235952888,1497200
2021-09-24,24977.267578125,25459.712409907486,24939.054126102623,25130.1213862145,1247100
2021-09-27,24117.46484375,24762.316844919787,23988.494443516043,24647.67648915627,1409500
2021-09-28,24279.873046875,24341.96990888747,23721.00128876279,23921.62191987999,1214300
2021-09-29,23354.6953125,23982.664336707207,23239.647552339902,23949.108739993844,1256100
2021-09-30,23450.572265625,23738.191712873057,23273.20693982203,23551.23907216182,1342600
2021-10-01,22506.216796875,23043.10631364816,22405.55001248003,22865.741026857027,1254400
2021-10-04,22477.45703125,23244.44212935194,22209.01224691432,23215.68018817312,985900
2021-10-05,21744.029296875,21974.12484499008,21293.425515149636,21705.680038855822,1137700
2021-10-06,22232.982421875,22784.253008014635,21815.93423931719,22338.442881832147,1523700
2021-10-07,22602.09375,23038.316556203605,22357.61723223754,22813.01466728526,948700
2021-10-08,22971.203125,23364.28297814065,22966.40946825438,23201.29864878965,1079500
2021-10-11,23460.158203125,23508.09477485186,22721.934998531364,22894.506656748057,634200
2021-10-12,23388.25,23810.091770854684,23210.884709981554,23776.536175445788,686700
2021-10-13,23349.90234375,23536.854959518067,23129.394130279972,23249.23555064412,512800
2021-10-14,23719.017578125,23800.509756546206,23359.49326156086,23474.541042861383,702400
2021-10-15,24514.76171875,24524.349032679896,23881.99899937671,24030.602365290135,982100
2021-10-18,24490.79296875,24533.93588061509,23949.10974199941,24418.888115641515,713800
2021-10-19,24835.9375,24888.667728237793,24394.92104564756,24486.00053078556,612200
2021-10-20,24668.16015625,25070.827364397104,24572.28701145307,24950.98593340094,572300
2021-10-21,24366.16015625,24879.081489462424,24323.01724037232,24543.525477080464,493000
2021-10-22,24524.345703125,24706.504643062206,24121.678572737488,24160.027823250584,535800
2021-10-25,24231.935546875,24375.745253384644,23973.078075157642,24270.28480194424,546400
2021-10-26,24538.73046875,24596.25435341986,24361.365157684606,24361.365157684606,493400
2021-10-27,24644.189453125,24663.364080203875,24299.046165705236,24361.363703711584,456900
2021-10-28,23546.443359375,24006.634434802527,23546.443359375,23685.4594134104,1088000
2021-10-29,23862.822265625,23958.695396463187,23407.424894143605,23695.04428665817,881000
2021-11-01,24893.462890625,24955.780436856105,24486.002011421624,24821.55802958911,946200
2021-11-02,24466.82421875,24826.348477450283,24346.98279918324,24610.633922230114,677200
2021-11-04,24893.462890625,25061.24089970874,24826.3516869915,25042.06627009917,760500
2021-11-05,24236.73046875,24337.397268560868,23479.332641601562,24207.968525946897,1427200
2021-11-08,24495.587890625,24658.572232754403,24356.571834102862,24519.556176232265,717300
2021-11-09,24193.5859375,24816.76132324896,24179.20496705964,24725.681843793343,536100
2021-11-10,24112.09765625,24370.955165879725,24001.843531778082,24260.701041407803,414000
2021-11-11,24337.3984375,24486.00181578688,24097.71556929535,24207.969688669487,517500
2021-11-12,24370.951171875,24615.427668681772,24227.141467871017,24270.28437907221,669200
2021-11-15,24495.587890625,24677.746861240215,24385.33377683158,24581.873718811155,452100
2021-11-16,24466.82421875,24586.66563831676,24198.379438920456,24351.776455965908,480000
2021-11-17,23963.490234375,24644.18949688375,23934.728293705615,24644.18949688375,731600
2021-11-18,24169.62109375,24337.39910610249,23781.334836591384,24025.81136887644,601600
2021-11-19,23934.73046875,24112.09578566243,23819.682695617616,23968.286069246948,583000
2021-11-22,24164.826171875,24164.826171875,23738.190677073002,23929.936966871654,559400
2021-11-24,23393.044921875,23997.04567190702,23306.759100441857,23723.807237368725,728500
2021-11-25,23426.6015625,23508.093730816454,23244.44259802793,23484.125446017497,521700
2021-11-26,22985.583984375,23210.885850332375,22769.86943186262,23172.5365965524,742200
2021-11-29,22669.205078125,23033.523028206942,22530.189018225312,22678.79239260084,813800
2021-11-30,22194.630859375,22961.615943068304,22146.694291644166,22913.679375337473,1254500
2021-12-01,23186.916015625,23311.551082072438,22415.13733493126,22573.327996191467,1360800
2021-12-02,23421.806640625,23733.394326183865,23167.742835476998,23249.234999392396,1232300
2021-12-03,24265.4921875,24265.4921875,23795.713792720268,23901.17424869123,1193900
2021-12-06,24447.65234375,24629.81132199755,24188.794848345588,24447.65234375,966100
2021-12-07,24792.794921875,24941.39829437657,24279.873603885706,24773.62029316512,1207800
2021-12-08,25276.951171875,25320.094081138584,24869.49036216338,24869.49036216338,1022800
2021-12-09,25233.810546875,25540.604596077126,25104.381807367852,25478.287054832945,744000
2021-12-10,25377.619140625,25559.778099322346,25291.33331808415,25320.095258931102,1010900
2021-12-13,25799.4609375,25919.30235768534,25660.444890085008,25813.84190792224,856900
2021-12-14,25478.28515625,25809.0474658984,25363.237396372293,25641.269482743413,655400
2021-12-15,25262.572265625,25324.88980631819,25142.730841215016,25233.810323766604,538200
2021-12-16,25885.748046875,25943.27193142361,25694.001765046298,25885.748046875,683300
2021-12-17,25214.63671875,25880.95506550024,25113.969918161834,25837.81215096245,1244000
2021-12-20,24001.83984375,24720.888371124176,23934.728647861743,24581.8723224985,716700
2021-12-21,24275.078125,24500.379995433454,24064.157225019746,24423.681486349724,499600
2021-12-22,24279.873046875,24323.015960482477,24068.952135905107,24284.666703942497,382700
2021-12-23,24529.138671875,24529.138671875,24270.281238167507,24466.82114153801,394900
2021-12-24,24773.62109375,24864.700583065256,24529.14456979852,24548.319199128047,282900
2021-12-27,24687.333984375,24816.762725652305,24577.07987143507,24735.270555218445,317400
2021-12-28,25353.65234375,25439.9381713521,24965.366119540555,25099.58851803271,510200
2021-12-29,25128.349609375,25396.794397266072,24879.079449190434,25267.365660247164,388500
2021-12-30,25013.30078125,25238.602647236727,24864.697422833222,25181.078766559265,442000
2022-01-04,25224.224609375,25310.51044042189,24850.319341505132,25123.55780648696,499900
2022-01-05,25569.3671875,25598.12913034308,25267.36678764764,25315.303359052774,590200
2022-01-06,25022.892578125,25607.718803130985,24960.57502955879,25487.87736358058,671700
2022-01-07,24740.0625,25396.793475101724,24672.951305464056,25396.793475101724,668700
2022-01-11,24692.125,24989.33170743545,24543.521646282275,24927.014172005434,629900
2022-01-12,25411.177734375,25468.70162285123,24955.780283938173,24955.780283938173,696100
2022-01-13,24946.19140625,25229.017173538385,24927.016777959263,24931.810435031948,603700
2022-01-14,24255.90234375,24831.141134510868,23901.17175611413,24596.251961616847,979100
2022-01-17,24399.712890625,24514.760652781188,24217.5539338777,24423.68117440754,376100
2022-01-18,24179.205078125,24457.237174582428,24136.062166605745,24265.490901163514,453800
2022-01-19,23412.21875,24011.425822839883,23311.5519617629,23901.171721437346,737800
2022-01-20,23786.125,23987.458585247885,23167.7432738815,23191.71155783958,806900
2022-01-21,23742.98046875,23838.85359804033,23105.424158969312,23316.345043408037,615000
2022-01-24,23805.30078125,23829.269066370067,23311.554107776632,23455.36381849703,495900
2022-01-25,23292.37890625,23651.90317419994,23019.140462608048,23536.85540845596,703500
2022-01-26,23105.427734375,23417.01545278462,22865.744874059907,23105.427734375,483400
2022-01-27,22122.728515625,23345.111131331258,22046.029998561076,23115.01558013949,1091700
2022-01-28,22928.060546875,22999.96539910229,22026.853065626306,22151.488142820275,874500
2022-01-31,22841.7734375,22961.614851128015,22122.724955731897,22405.55069189402,722000
2022-02-01,22899.298828125,23321.140631950624,22841.774945785142,22913.679798709964,507400
2022-02-02,22630.85546875,23158.15775673189,22587.712554278754,22952.030498702607,779700
2022-02-03,21763.19921875,22525.390557027808,21566.659313911066,22161.072684643448,1026200
2022-02-04,21806.34375,21930.978820894703,21082.501607496153,21456.40682018026,975400
2022-02-07,21461.203125,21724.85426904177,21231.107581109,21657.74306874023,863000
2022-02-08,21552.283203125,22295.300084015653,21442.02908531542,21782.3787533363,1013700
2022-02-09,21643.359375,21772.788102159466,21350.94632475083,21590.62915282392,863700
2022-02-10,21523.521484375,21902.22041472369,21456.410281528395,21897.426757377507,772300
2022-02-14,20641.486328125,21063.32812953582,20559.994161943363,20996.216933856827,742500
2022-02-15,20617.51953125,20794.8848469106,20488.09078738956,20756.535589470473,519400
