Price,Close,High,Low,Open,Volume
Ticker,6869.T,6869.T,6869.T,6869.T,6869.T
Date,,,,,
2021-08-02,4251.25341796875,4272.100599121624,4206.351146508519,4248.045978631075,787200
2021-08-03,4299.36328125,4300.966766242526,4215.9736049348685,4215.9736049348685,467400
2021-08-04,4257.66845703125,4325.021404374117,4243.235682600636,4308.9851449457265,621300
2021-08-05,4256.06494140625,4313.796038713267,4235.217287500801,4251.254016630665,587400
2021-08-06,4252.85693359375,4304.173614284949,4220.783949434649,4259.271342498846,826800
2021-08-10,4010.70751953125,4102.115084380015,3978.6345331541393,4041.1765512085576,2020800
2021-08-11,3949.76904296875,4063.6277468950243,3928.92162501568,4047.591018568206,1339200
2021-08-12,3815.063232421875,3951.3726070293114,3778.1795552199756,3884.019897103054,1991400
2021-08-13,3839.117919921875,3843.9288446335568,3746.1066305265545,3792.612392678431,1292700
2021-08-16,3791.00830078125,3869.5868083303653,3770.160884106976,3839.117543176951,884400
2021-08-17,3765.35009765625,3823.081190643697,3738.0882709372063,3823.081190643697,896100
2021-08-18,3774.971923828125,3802.2339852919463,3739.691968264289,3784.593772601611,1052100
2021-08-19,3763.746826171875,3779.7830851941576,3693.186440803476,3723.655708799304,1269300
2021-08-20,3768.5576171875,3861.56866792457,3758.9357681520496,3794.215724676418,1368600
2021-08-23,3768.5576171875,3871.1905169600204,3766.9538973787835,3787.8013152584003,1418100
2021-08-24,3924.1103515625,3964.201464089507,3799.0263247829766,3799.0263247829766,1237200
2021-08-25,3999.48193359375,4001.085888380857,3909.6780836482994,3951.3726863178954,877800
2021-08-26,3904.8671875,3986.6531433759687,3877.605358813634,3967.4094443247845,792000
2021-08-27,3840.721435546875,3903.26345347277,3834.3067913029504,3882.4160358613312,710100
2021-08-30,3930.525390625,3933.7325953826767,3813.4594806144696,3842.3250281588394,1099800
2021-08-31,4015.518310546875,4021.9327196823865,3903.2633317744667,3930.5251578714233,1255800
2021-09-01,4020.329345703125,4029.951194580103,3978.634510630605,3988.2563595075835,1093500
2021-09-02,4092.493408203125,4145.41357955999,4050.7985711345204,4060.4204204721323,1044000
2021-09-03,4405.20361328125,4414.825462840789,4138.998795589421,4138.998795589421,2265300
2021-09-06,4525.47607421875,4543.115815966351,4349.075368025109,4393.977169496463,1261200
2021-09-07,4495.0068359375,4571.981625677803,4462.934320090262,4515.85448803672,1855200
2021-09-08,4480.57470703125,4495.00748218255,4390.771085967762,4398.788981173884,1345200
2021-09-09,4458.1240234375,4503.025833835929,4430.861958293687,4482.178648618247,913500
2021-09-10,4605.658203125,4607.262157826385,4416.4286638921,4416.4286638921,1707000
2021-09-13,4628.109375,4666.596771049896,4533.4943697717235,4555.945507406444,921300
2021-09-14,4695.462890625,4714.706590996414,4586.415098581353,4634.5243495098875,1182000
2021-09-15,4555.94580078125,4615.280383573338,4514.25096243669,4600.847609125246,1234500
2021-09-16,4677.82275390625,4766.023361967766,4616.88468158463,4636.128382279228,1606200
2021-09-17,4788.4736328125,4806.113846914306,4632.92055513361,4725.931610780583,2465700
2021-09-21,4711.49853515625,4778.851477652505,4613.676560993493,4778.851477652505,1397700
2021-09-22,4618.48779296875,4709.895363871256,4583.207834489197,4697.066074507386,1372800
2021-09-24,4786.8701171875,4802.90637638485,4673.0114083807675,4697.066032085227,1459500
2021-09-27,4709.89501953125,4793.284219757651,4674.615063631011,4772.43703715526,700800
2021-09-28,4501.421875,4597.640365596246,4467.745403291314,4583.207592006809,1732800
2021-09-29,4440.9658203125,4458.652190667357,4381.473931493548,4432.926261295658,1586400
2021-09-30,4479.5546875,4526.18290231369,4432.926001627628,4439.357365829144,1487400
2021-10-01,4450.61328125,4510.104701396798,4436.1423570743955,4471.515570261852,1121400
2021-10-04,4405.591796875,4532.614652650492,4365.394947015958,4508.496448523332,846300
2021-10-05,4296.255859375,4360.570907480538,4251.234901748356,4310.7267805281435,1085100
2021-10-06,4204.60693359375,4362.1788811623965,4185.312370947903,4318.7661152092405,1080900
2021-10-07,4244.80419921875,4325.198375162916,4207.822793493867,4260.882845984102,1094400
2021-10-08,4346.10107421875,4408.808414912251,4318.7669481789235,4381.474288872423,1323900
2021-10-11,4375.04248046875,4386.297486022972,4252.843729544316,4301.080140574843,750000
2021-10-12,4371.826171875,4394.336652029722,4313.942483813138,4373.434366138047,660000
2021-10-13,4394.3369140625,4465.083805154053,4375.042350224685,4375.042350224685,919500
2021-10-14,4463.4755859375,4466.691503578789,4375.042325859569,4400.768253813823,793500
2021-10-15,4547.0859375,4564.772307896957,4461.868119106503,4534.2227372541765,1059600
2021-10-18,4458.65234375,4566.380648251308,4424.88685420216,4566.380648251308,984300
2021-10-19,4503.6728515625,4522.967415052152,4444.180966763621,4477.946452870511,910500
2021-10-20,4511.71142578125,4526.182346752457,4449.0041015726865,4502.064145133779,985200
2021-10-21,4498.849609375,4595.322435372615,4497.241414902559,4532.615098474165,869400
2021-10-22,4500.45654296875,4545.477030180403,4468.29878292692,4494.025179383839,897000
2021-10-25,4559.9482421875,4572.811441235848,4485.985907541497,4497.240912297135,1086900
2021-10-26,4590.49853515625,4641.950392080474,4550.301212552001,4619.4403813231365,1217400
2021-10-27,4661.2451171875,4727.168370530799,4625.871905447996,4643.558746847103,1742400
2021-10-28,4613.00830078125,4778.620281308157,4582.458732914708,4667.676543563906,5715900
2021-10-29,4524.576171875,4629.088571670671,4503.67388033938,4629.088571670671,1720200
2021-11-01,4598.53759765625,4661.244930674557,4540.653905639352,4648.382202043263,1520700
2021-11-02,4490.81005859375,4580.851520046282,4479.555052559204,4580.851520046282,1357800
2021-11-04,4551.90966796875,4595.32243970864,4505.280978339665,4555.125114799224,1746900
2021-11-05,4485.986328125,4559.94866970534,4423.278992355511,4543.870022681452,1002900
2021-11-08,4485.986328125,4513.320452018451,4440.965833822886,4469.907681101112,1292400
2021-11-09,4439.35791015625,4543.8702998329945,4412.024255654306,4518.144368813888,819900
2021-11-10,4392.72900390625,4492.417265455343,4386.297168861448,4439.3572171583955,804900
2021-11-11,4392.72900390625,4476.338619960672,4341.276678841169,4392.72900390625,1155300
2021-11-12,4421.6708984375,4482.770034643433,4389.513136025812,4400.7681408935005,1357200
2021-11-15,4474.73095703125,4572.811496670231,4445.789112115615,4469.907316211978,1117800
2021-11-16,4502.064453125,4505.28037058037,4410.4152807042,4421.670756268666,816000
2021-11-17,4624.26416015625,4638.735083670934,4514.928136581293,4522.967695553464,955800
2021-11-18,4698.22705078125,4749.679386317265,4617.832864829745,4632.30379003749,936600
2021-11-19,4715.9130859375,4727.168091039462,4621.047991036535,4680.5394052307365,1017000
2021-11-22,4807.5625,4815.601587872201,4690.18691805532,4690.18691805532,951300
2021-11-24,4738.42333984375,4768.973381212512,4662.853275751711,4711.089687324803,1098600
2021-11-25,4738.42333984375,4762.541545630295,4712.697410691004,4759.326098897894,496800
2021-11-26,4646.7744140625,4703.050387686878,4590.498911496855,4686.971739962227,1064400
2021-11-29,4646.7744140625,4677.324457115689,4553.517503565551,4574.419792713471,1368900
2021-11-30,4553.51708984375,4682.147673130086,4539.046166888738,4664.460832498841,2653200
2021-12-01,4550.30126953125,4590.498592638854,4477.946653208003,4539.046264011645,914400
2021-12-02,4613.00830078125,4643.558339706461,4553.516888285773,4553.516888285773,1263900
2021-12-03,4510.103515625,4584.065840501632,4468.298477533718,4584.065840501632,910500
2021-12-06,4598.53759765625,4609.793074031997,4453.8283676140045,4518.143895005242,1158600
2021-12-07,4622.65625,4633.911727464945,4539.0466215708775,4630.69580946657,957900
2021-12-08,4781.83544921875,4783.443643421341,4637.126234504074,4685.362639408966,1127100
2021-12-09,4658.02880859375,4778.619816142271,4646.773333850139,4759.325254934508,705900
2021-12-10,4592.10595703125,4630.695082720588,4571.20367096908,4613.008243093421,939900
2021-12-13,4633.91064453125,4691.794328622305,4625.871086943505,4659.636569329955,732600
2021-12-14,4733.59912109375,4751.285960198641,4670.891793700265,4720.736393616237,1007400
2021-12-15,4743.2470703125,4749.678906015823,4658.029722301271,4662.853363549405,858600
2021-12-16,4945.83984375,4958.7030436844425,4823.641093078251,4823.641093078251,1102500
2021-12-17,4709.48193359375,4913.683075733939,4695.011008767693,4881.525307989785,1577100
2021-12-20,4751.2861328125,4823.6407439720815,4720.736565120233,4823.6407439720815,943800
2021-12-21,4860.6220703125,4924.937122201884,4802.738382294457,4807.5620229626265,980400
