Date,code,Open,Close,寄り引け変動率,前日比,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,Open,Close,S&P500前日比,year,S&P_up
,,1925.T,1925.T,,,1928.T,1928.T,2413.T,2413.T,2502.T,2502.T,2503.T,2503.T,2802.T,2802.T,2914.T,2914.T,3382.T,3382.T,3402.T,3402.T,3407.T,3407.T,4063.T,4063.T,4188.T,4188.T,4452.T,4452.T,4502.T,4502.T,4503.T,4503.T,4507.T,4507.T,4519.T,4519.T,4523.T,4523.T,4528.T,4528.T,4543.T,4543.T,4568.T,4568.T,4578.T,4578.T,4661.T,4661.T,4689.T,4689.T,4901.T,4901.T,4911.T,4911.T,5020.T,5020.T,5108.T,5108.T,5401.T,5401.T,5713.T,5713.T,5802.T,5802.T,6098.T,6098.T,6178.T,6178.T,6273.T,6273.T,6301.T,6301.T,6326.T,6326.T,6367.T,6367.T,6501.T,6501.T,6503.T,6503.T,6586.T,6586.T,6594.T,6594.T,6645.T,6645.T,6702.T,6702.T,6752.T,6752.T,6758.T,6758.T,6861.T,6861.T,6869.T,6869.T,6902.T,6902.T,6920.T,6920.T,6954.T,6954.T,6971.T,6971.T,6981.T,6981.T,7011.T,7011.T,7201.T,7201.T,7203.T,7203.T,7267.T,7267.T,7269.T,7269.T,7270.T,7270.T,7309.T,7309.T,7733.T,7733.T,7741.T,7741.T,7751.T,7751.T,7832.T,7832.T,7974.T,7974.T,8001.T,8001.T,8002.T,8002.T,8031.T,8031.T,8035.T,8035.T,8053.T,8053.T,8058.T,8058.T,8113.T,8113.T,8267.T,8267.T,8306.T,8306.T,8308.T,8308.T,8309.T,8309.T,8316.T,8316.T,8411.T,8411.T,8591.T,8591.T,8604.T,8604.T,8630.T,8630.T,8697.T,8697.T,8725.T,8725.T,8750.T,8750.T,8766.T,8766.T,8801.T,8801.T,8802.T,8802.T,8830.T,8830.T,9020.T,9020.T,9021.T,9021.T,9022.T,9022.T,9101.T,9101.T,9202.T,9202.T,9432.T,9432.T,9433.T,9433.T,9434.T,9434.T,9735.T,9735.T,9843.T,9843.T,9983.T,9983.T,9984.T,9984.T,,,
2024-08-29,1925,4389.132133640967,4380.404296875,-0.1988510826336701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,
2024-08-30,1925,4351.311457303617,4353.2509765625,0.04457321149988531,-0.6198816016108721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,
2024-09-02,1925,4359.0693359375,4359.0693359375,0.0,0.13365550036801288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,
2024-09-03,1925,4378.464485925572,4446.34765625,1.5503875968992307,2.002223722227825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.115107439771169,2024,0.0
2024-09-04,1925,4378.464901657913,4391.07177734375,0.2879291251384269,-1.2431749197243214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.16025435809103872,2024,0.0
2024-09-05,1925,4345.493089164849,4419.19482421875,1.6960499888417822,0.6404597396950873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3018017615584734,2024,0.0
2024-09-06,1925,4403.678110673952,4435.68017578125,0.7267121779343797,0.3730397101334937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.7260249859284649,2024,0.0
2024-09-09,1925,4368.767067307693,4412.40625,0.9988901220865605,-0.5246980138091439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15800702824842,2024,1.0
2024-09-10,1925,4393.010696581753,4423.0732421875,0.6843267108167724,0.24175000177057981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4472672652839682,2024,1.0
