Date,code,Open,Close,High,Low,寄り引け変動率,前日比,S&P500前日比,year,S&P_up
2023-08-02,1925,3634.530418806093,3613.885009765625,3662.683249315823,3596.993311459787,-0.568035114898006,-1.0534509531038294,-1.3839541336347905,2023,0
2023-08-02,8308,703.1146514047733,693.087890625,705.9794401989943,693.087890625,-1.4260491883849338,-2.8119987583135386,-1.3839541336347905,2023,0
2023-08-02,5020,485.63974771180733,485.0773620605469,489.5766189040949,483.1089550699805,-0.11580305234698211,-0.6717756132848085,-1.3839541336347905,2023,0
2023-08-02,4452,5162.2629412723545,5116.51171875,5162.2629412723545,5092.682957019607,-0.8862629246676478,-0.8679457589007566,-1.3839541336347905,2023,0
2023-08-02,9020,2610.2656334007784,2563.952392578125,2614.768388112311,2559.1280966590984,-1.7742730942794611,-2.0518566215765977,-1.3839541336347905,2023,0
2023-08-02,9843,17049.897095614993,16897.40234375,17133.523249863538,16828.53374613355,-0.8944027697634194,-1.2931143165812231,-1.3839541336347905,2023,0
2023-08-02,6178,965.4163009129214,954.689453125,965.4163009129214,952.8239143792746,-1.1111111111111194,-1.2065689008495362,-1.3839541336347905,2023,0
2023-08-02,8035,20684.731956801254,20343.193359375,20853.096054124053,20208.50208151676,-1.6511627906976758,-3.2043795640788075,-1.3839541336347905,2023,0
2023-08-02,6273,71320.83794023248,69990.0078125,71398.55064842124,69990.0078125,-1.8659765731408355,-2.753415622636335,-1.3839541336347905,2023,0
2023-08-02,2502,1777.7600765429577,1742.6851806640625,1778.3920180758794,1736.6813310847606,-1.9729825380656552,-2.0426226196609165,-1.3839541336347905,2023,0
2023-08-02,5108,5507.5564781403555,5487.10302734375,5562.408914367614,5475.016897327575,-0.3713706954760388,-0.8400404948932683,-1.3839541336347905,2023,0
2023-08-02,6758,2620.3673476164054,2613.4560546875,2660.8477776285654,2605.5574341973224,-0.26375282592313504,-1.8174930924182875,-1.3839541336347905,2023,0
2023-08-02,7267,1388.1654528045572,1389.7003173828125,1417.0215364254275,1377.7280813815025,0.11056784154614993,-1.4154972966911261,-1.3839541336347905,2023,0
2023-08-02,7974,6154.000211294011,6101.19677734375,6174.161522438656,6081.995528634565,-0.8580343213728614,-1.610167075887703,-1.3839541336347905,2023,0
2023-08-02,8306,1067.9674218360415,1058.117919921875,1077.8169237502077,1051.0825614117562,-0.9222661396574511,-0.44130125868830916,-1.3839541336347905,2023,0
2023-08-02,9101,3160.7993219211558,3136.27587890625,3184.4144892688423,3136.27587890625,-0.7758620689655246,-1.2864541710210897,-1.3839541336347905,2023,0
2023-08-02,8058,2267.989771051498,2251.646240234375,2285.2764325045314,2245.045937185112,-0.7206174836293731,-1.9436077635013316,-1.3839541336347905,2023,0
2023-08-02,5802,1705.674052760382,1744.703369140625,1806.4997867426766,1690.8057417583848,2.2882048488150373,1.5963133457112644,-1.3839541336347905,2023,0
2023-08-02,3407,902.6868687347534,904.6470336914062,910.434097848751,899.2333505648373,0.21714783105245905,-0.4723784797346031,-1.3839541336347905,2023,0
2023-08-02,6367,27744.83408826463,27452.783203125,27959.00473736702,27321.36030481217,-1.0526315789473761,-2.2021897491784737,-1.3839541336347905,2023,0
2023-08-02,8001,5343.624318600381,5318.96435546875,5412.861907393038,5311.376674505171,-0.4614838480653191,-2.520435315052172,-1.3839541336347905,2023,0
2023-08-02,8801,918.8037584481225,904.1079711914062,920.5608392843151,902.1911344620271,-1.5994478822700633,-3.2809344167661902,-1.3839541336347905,2023,0
2023-08-02,7270,2550.190466047905,2511.93994140625,2617.8285888898563,2483.48528283136,-1.499908542162058,-2.144267051105908,-1.3839541336347905,2023,0
2023-08-02,6702,1761.355522326995,1765.7589111328125,1773.5871578987103,1754.016540983966,0.2499999999999999,-0.5237032579730072,-1.3839541336347905,2023,0
2023-08-02,4911,5950.043401883244,5915.90380859375,5961.748405296785,5881.764215304256,-0.573770491803276,-0.7202506656195484,-1.3839541336347905,2023,0
2023-08-02,8309,2505.808458024675,2473.313720703125,2510.91477388949,2463.56529950666,-1.2967765839199685,-2.667150767589477,-1.3839541336347905,2023,0
2023-08-02,8830,3684.6783126201276,3612.5634765625,3701.2452344171497,3602.8182284466043,-1.9571541920126987,-3.1356126037227705,-1.3839541336347905,2023,0
2023-08-02,4901,2669.2189951675887,2666.62744140625,2690.2745687374654,2657.5573591264533,-0.09709033863577615,-0.8192880749300024,-1.3839541336347905,2023,0
2023-08-02,4502,4013.6091766497025,4009.9404296875,4031.9529114607158,3993.431068357588,-0.09140767824496818,-0.9739389045966718,-1.3839541336347905,2023,0
2023-08-02,5713,4637.1042258159405,4652.3359375,4711.358820275731,4616.160622250358,0.3284746458632674,-1.0929003725216324,-1.3839541336347905,2023,0
2023-08-02,6645,7207.932615530962,7101.91943359375,7252.265400704705,7101.91943359375,-1.4707848642866719,-1.9819092120716086,-1.3839541336347905,2023,0
2023-08-02,8750,665.0414575080858,652.1074829101562,667.27550766591,651.6371565611406,-1.9448373408769533,-3.6483589937272964,-1.3839541336347905,2023,0
2023-08-02,4523,8621.984643802101,8685.3955078125,8686.341938618625,8455.412821924036,0.7354555433589347,0.22937984610567064,-1.3839541336347905,2023,0
2023-08-02,7309,21569.514011375257,21394.5078125,21870.913576104864,21394.5078125,-0.8113590263691739,-1.4333659489608963,-1.3839541336347905,2023,0
2023-08-02,7011,660.0873599608102,656.0043334960938,672.6280713877741,655.4210694304643,-0.6185584988264078,-1.3882833447469212,-1.3839541336347905,2023,0
2023-08-02,4507,1937.4322875445291,1952.3428955078125,1956.46727183881,1924.1078798642632,0.7696066623407444,0.2606693287761752,-1.3839541336347905,2023,0
